team,teamInnings,inning,position,batsman,dismissal,runs,balls,M,4s,6s,SR,out/not_out,id
Scotland VS West Indies,West Indies,Inning2,8,Akeal Hosein,run out (Cross/Leask),1,1,4,0,0,100.0,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,9,Alzarri Joseph,c Cross b Watt,0,1,4,0,0,0.0,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,10,Odean Smith,c Greaves b Watt,5,8,14,0,0,62.5,out,T20I # 1826
Scotland VS West Indies,West Indies,Inning2,11,Obed McCoy,not out,2,3,10,0,0,66.66,not out,T20I # 1826
Zimbabwe VS Ireland,Zimbabwe,Inning1,1,Regis Chakabva,c Tucker b Little,0,2,3,0,0,0.0,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,2,Craig Ervine(c),st Tucker b Simi Singh,9,12,28,1,0,75.0,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,3,Wessly Madhevere,c Delany b Little,22,19,22,4,0,115.78,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,4,Sean Williams,c Tector b Simi Singh,12,11,24,0,1,109.09,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,5,Sikandar Raza,b Adair,82,48,72,5,5,170.83,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,6,Milton Shumba,c Little b Adair,16,14,26,1,0,114.28,out,T20I # 1828
Zimbabwe VS Ireland,Zimbabwe,Inning1,7,Ryan Burl,c Adair b Little,1,4,9,0,0,25.0,out,T20I # 1828
